Commit:	de3d4fd
./gcc/cp/init.c	2501,2503
./gcc/cp/init.c	2527,2527
./gcc/cp/init.c	2535,2535
./gcc/cp/init.c	2562,2562
./gcc/cp/init.c	2564,2564
./gcc/cp/init.c	2594,2594
./gcc/cp/init.c	2601,2601
./gcc/cp/init.c	2616,2616
./gcc/cp/init.c	2619,2620
./gcc/cp/init.c	2623,2624
./gcc/cp/init.c	2626,2638
./gcc/cp/init.c	2640,2641
./gcc/cp/init.c	2644,2644
./gcc/cp/init.c	2648,2656
./gcc/cp/init.c	2665,2667
./gcc/cp/init.c	2670,2670
./gcc/cp/init.c	2673,2673
./gcc/cp/init.c	2679,2679
./gcc/cp/init.c	2682,2682
./gcc/cp/init.c	2684,2685
./gcc/cp/init.c	2687,2687
./gcc/cp/init.c	2706,2708
./gcc/cp/init.c	2718,2719
./gcc/cp/init.c	2728,2729
