Commit:	1e16f2b
./gcc/cp/call.c	4632,4632
./gcc/cp/pt.c	29385,29385
./gcc/cp/pt.c	29399,29401
./gcc/cp/pt.c	29403,29403
./gcc/cp/pt.c	29419,29419
./gcc/cp/pt.c	29426,29431
./gcc/cp/pt.c	29433,29433
./gcc/cp/pt.c	29438,29443
./gcc/cp/pt.c	29454,29455
./gcc/cp/pt.c	29473,29473
./gcc/cp/pt.c	29475,29478
./gcc/cp/pt.c	29486,29486
./libstdc++-v3/testsuite/23_containers/map/cons/deduction.cc	43,43
./libstdc++-v3/testsuite/23_containers/map/cons/deduction.cc	95,95
./libstdc++-v3/testsuite/23_containers/map/cons/deduction.cc	148,148
./libstdc++-v3/testsuite/23_containers/map/cons/deduction.cc	198,198
./libstdc++-v3/testsuite/23_containers/multimap/cons/deduction.cc	45,45
./libstdc++-v3/testsuite/23_containers/multimap/cons/deduction.cc	80,80
./libstdc++-v3/testsuite/23_containers/multimap/cons/deduction.cc	122,122
./libstdc++-v3/testsuite/23_containers/multimap/cons/deduction.cc	161,161
./libstdc++-v3/testsuite/23_containers/multiset/cons/deduction.cc	23,23
./libstdc++-v3/testsuite/23_containers/multiset/cons/deduction.cc	55,55
./libstdc++-v3/testsuite/23_containers/multiset/cons/deduction.cc	106,106
./libstdc++-v3/testsuite/23_containers/set/cons/deduction.cc	25,25
./libstdc++-v3/testsuite/23_containers/set/cons/deduction.cc	61,61
./libstdc++-v3/testsuite/23_containers/set/cons/deduction.cc	107,107
