Commit:	6b5ed34
./clang/lib/Sema/SemaDeclCXX.cpp	4789,4789
./clang/lib/Sema/SemaDeclCXX.cpp	4791,4791
./clang/test/CodeGenCXX/dllexport.cpp	514,514
./clang/test/CodeGenCXX/dllexport.cpp	522,522
./clang/test/CodeGenCXX/dllexport.cpp	576,576
./clang/test/CodeGenCXX/dllexport.cpp	583,583
./clang/test/CodeGenCXX/dllexport.cpp	585,586
./clang/test/CodeGenCXX/dllexport.cpp	649,650
./clang/test/CodeGenCXX/dllexport.cpp	655,655
./clang/test/CodeGenCXX/dllexport.cpp	657,657
./clang/test/CodeGenCXX/dllexport.cpp	661,661
./clang/test/CodeGenCXX/dllexport.cpp	663,663
./clang/test/CodeGenCXX/dllexport.cpp	704,705
./clang/test/CodeGenCXX/dllexport.cpp	710,711
./clang/test/CodeGenCXX/dllimport.cpp	731,731
./clang/test/CodeGenCXX/dllimport.cpp	737,737
./clang/test/CodeGenCXX/dllimport.cpp	743,743
./clang/test/CodeGenCXX/dllimport.cpp	790,791
Commit:	2e5c25a
