Commit:	5ba2fe3
./clang/lib/CodeGen/CodeGenModule.cpp	790,794
./clang/lib/CodeGen/CodeGenModule.cpp	1077,1084
./clang/lib/CodeGen/MicrosoftCXXABI.cpp	3824,3836
./clang/test/CodeGenCXX/cxx2a-destroying-delete.cpp	131,131
./clang/test/CodeGenCXX/cxx2a-destroying-delete.cpp	158,158
./clang/test/CodeGenCXX/debug-info-ms-dtor-thunks.cpp	8,8
./clang/test/CodeGenCXX/debug-info-ms-dtor-thunks.cpp	11,11
./clang/test/CodeGenCXX/debug-info-ms-dtor-thunks.cpp	14,14
./clang/test/CodeGenCXX/dllexport-dtor-thunks.cpp	10,10
./clang/test/CodeGenCXX/dllimport-dtor-thunks.cpp	3,6
./clang/test/CodeGenCXX/dllimport-dtor-thunks.cpp	47,47
./clang/test/CodeGenCXX/exceptions-cxx-new.cpp	58,58
./clang/test/CodeGenCXX/exceptions-cxx-new.cpp	63,63
./clang/test/CodeGenCXX/inheriting-constructor.cpp	140,140
./clang/test/CodeGenCXX/inheriting-constructor.cpp	153,153
./clang/test/CodeGenCXX/inheriting-constructor.cpp	176,176
./clang/test/CodeGenCXX/inheriting-constructor.cpp	189,189
./clang/test/CodeGenCXX/inheriting-constructor.cpp	227,227
./clang/test/CodeGenCXX/inheriting-constructor.cpp	242,242
./clang/test/CodeGenCXX/inheriting-constructor.cpp	284,284
./clang/test/CodeGenCXX/inheriting-constructor.cpp	304,304
./clang/test/CodeGenCXX/microsoft-abi-dynamic-cast.cpp	141,141
./clang/test/CodeGenCXX/microsoft-abi-methods.cpp	78,80
./clang/test/CodeGenCXX/regcall.cpp	50,51
./clang/test/CodeGenCoroutines/coro-eh-cleanup.cpp	53,53
./clang/test/CodeGenCoroutines/coro-promise-dtor.cpp	47,47
