Commit:	8fb5a14
./clang/include/clang/Sema/Sema.h	10163,10163
./clang/lib/AST/ExprConstant.cpp	9930,9930
./clang/lib/AST/ExprConstant.cpp	9951,9951
./clang/lib/AST/ExprConstant.cpp	9966,9966
./clang/lib/AST/ExprConstant.cpp	10091,10091
./clang/lib/Sema/SemaChecking.cpp	9869,9890
./clang/lib/Sema/SemaChecking.cpp	10392,10392
./clang/test/OpenMP/distribute_parallel_for_simd_aligned_messages.cpp	137,139
./clang/test/OpenMP/distribute_simd_aligned_messages.cpp	137,139
./clang/test/OpenMP/for_simd_aligned_messages.cpp	110,112
./clang/test/OpenMP/parallel_for_simd_aligned_messages.cpp	110,112
./clang/test/OpenMP/simd_aligned_messages.cpp	110,112
./clang/test/OpenMP/target_parallel_for_simd_aligned_messages.cpp	110,112
./clang/test/OpenMP/target_simd_aligned_messages.cpp	110,112
./clang/test/OpenMP/target_teams_distribute_parallel_for_simd_aligned_messages.cpp	113,115
./clang/test/OpenMP/target_teams_distribute_simd_aligned_messages.cpp	113,115
./clang/test/OpenMP/taskloop_simd_aligned_messages.cpp	110,112
./clang/test/OpenMP/teams_distribute_parallel_for_simd_aligned_messages.cpp	126,128
./clang/test/OpenMP/teams_distribute_simd_aligned_messages.cpp	126,128
Commit:	1db5ebc
./clang/lib/Sema/SemaInit.cpp	520,521
./clang/lib/Sema/SemaInit.cpp	525,525
./clang/lib/Sema/SemaInit.cpp	608,608
./clang/lib/Sema/SemaInit.cpp	612,612
./clang/lib/Sema/SemaInit.cpp	617,617
./clang/lib/Sema/SemaInit.cpp	772,772
./clang/lib/Sema/SemaInit.cpp	776,776
./clang/lib/Sema/SemaInit.cpp	798,798
./clang/lib/Sema/SemaInit.cpp	801,801
./clang/lib/Sema/SemaInit.cpp	1165,1165
./clang/lib/Sema/SemaInit.cpp	1168,1168
