Commit:	4ff6697
./clang/include/clang/AST/ExprCXX.h	3034,3034
./clang/include/clang/AST/ExprCXX.h	3047,3048
./clang/include/clang/AST/ExprCXX.h	3073,3075
./clang/include/clang/AST/ExprCXX.h	3080,3083
./clang/include/clang/Basic/StmtNodes.td	134,134
./clang/lib/ARCMigrate/TransAutoreleasePool.cpp	406,407
./clang/lib/ARCMigrate/TransRetainReleaseDealloc.cpp	256,256
./clang/lib/ARCMigrate/TransRetainReleaseDealloc.cpp	379,380
./clang/lib/ARCMigrate/TransUnbridgedCasts.cpp	375,375
./clang/lib/ARCMigrate/Transforms.cpp	77,78
./clang/lib/AST/Decl.cpp	2579,2579
./clang/lib/AST/ExprCXX.cpp	1047,1052
./clang/lib/AST/ExprCXX.cpp	1069,1069
./clang/lib/AST/ExprConstant.cpp	146,147
./clang/lib/AST/ParentMap.cpp	166,166
./clang/lib/AST/Stmt.cpp	121,122
./clang/lib/Analysis/LiveVariables.cpp	240,241
./clang/lib/Analysis/ThreadSafety.cpp	1401,1402
./clang/lib/CodeGen/CGBlocks.cpp	862,865
./clang/lib/CodeGen/CGDecl.cpp	757,759
