argument_list:	17.14%
call_expression:	16.66%
expression_statement:	8.75%
type_identifier:	7.53%
binary_expression:	5.94%
assignment_expression:	4.40%
condition_clause:	4.34%
if_statement:	4.13%
init_declarator:	2.48%
parameter_declaration:	2.17%
unary_expression:	1.77%
field_identifier:	1.73%
field_expression:	1.70%
return_statement:	1.59%
parameter_list:	1.45%
function_declarator:	1.31%
number_literal:	1.30%
pointer_expression:	1.25%
primitive_type:	1.23%
compound_statement:	1.14%
type_descriptor:	1.01%
parenthesized_expression:	0.81%
string_content:	0.75%
string_literal:	0.73%
template_argument_list:	0.60%
else_clause:	0.51%
qualified_identifier:	0.49%
template_type:	0.43%
reference_declarator:	0.43%
namespace_identifier:	0.39%
storage_class_specifier:	0.38%
pointer_declarator:	0.33%
alias_declaration:	0.24%
update_expression:	0.22%
type_parameter_declaration:	0.22%
concatenated_string:	0.21%
template_parameter_list:	0.19%
struct_specifier:	0.18%
template_declaration:	0.18%
field_declaration_list:	0.17%
function_definition:	0.17%
template_function:	0.16%
for_statement:	0.15%
comma_expression:	0.13%
type_qualifier:	0.13%
abstract_function_declarator:	0.13%
dependent_type:	0.13%
conditional_expression:	0.12%
while_statement:	0.12%
abstract_pointer_declarator:	0.11%
parenthesized_declarator:	0.11%
case_statement:	0.11%
requires_clause:	0.10%
requires_expression:	0.10%
requirement_seq:	0.10%
simple_requirement:	0.10%
break_statement:	0.09%
subscript_expression:	0.09%
subscript_argument_list:	0.09%
type_requirement:	0.09%
sized_type_specifier:	0.09%
ref_qualifier:	0.07%
placeholder_type_specifier:	0.07%
char_literal:	0.06%
initializer_list:	0.05%
user_defined_literal:	0.05%
literal_suffix:	0.05%
preproc_arg:	0.05%
continue_statement:	0.04%
optional_parameter_declaration:	0.04%
operator_name:	0.04%
preproc_function_def:	0.04%
preproc_params:	0.04%
preproc_directive:	0.03%
cast_expression:	0.03%
for_range_loop:	0.03%
array_declarator:	0.03%
statement_identifier:	0.03%
compound_literal_expression:	0.03%
enum_specifier:	0.03%
field_initializer:	0.03%
escape_sequence:	0.03%
explicit_function_specifier:	0.03%
sizeof_expression:	0.02%
parameter_pack_expansion:	0.02%
preproc_call:	0.02%
abstract_reference_declarator:	0.02%
labeled_statement:	0.02%
field_initializer_list:	0.02%
optional_type_parameter_declaration:	0.01%
goto_statement:	0.01%
do_statement:	0.01%
pure_virtual_clause:	0.01%
namespace_definition:	0.01%
declaration_list:	0.01%
base_class_clause:	0.01%
access_specifier:	0.01%
operator_cast:	0.01%
static_assert_declaration:	0.01%
static_assert:	0.01%
preproc_if:	0.01%
preproc_else:	0.01%
lambda_capture_specifier:	0.01%
lambda_declarator:	0.01%
preproc_def:	0.01%
class_specifier:	0.01%
__alignof__:	0.01%
switch_statement:	0.01%
