argument_list:	16.23%
call_expression:	15.73%
expression_statement:	7.55%
type_identifier:	7.08%
binary_expression:	6.82%
condition_clause:	4.76%
if_statement:	4.64%
assignment_expression:	4.16%
init_declarator:	2.75%
parameter_declaration:	2.25%
field_identifier:	2.12%
field_expression:	2.06%
compound_statement:	2.03%
unary_expression:	1.99%
return_statement:	1.85%
parameter_list:	1.49%
number_literal:	1.42%
primitive_type:	1.30%
function_declarator:	1.27%
pointer_expression:	1.18%
parenthesized_expression:	0.82%
type_descriptor:	0.78%
string_literal:	0.72%
string_content:	0.72%
else_clause:	0.62%
storage_class_specifier:	0.49%
template_argument_list:	0.47%
pointer_declarator:	0.45%
function_definition:	0.42%
reference_declarator:	0.41%
template_type:	0.37%
qualified_identifier:	0.30%
break_statement:	0.24%
update_expression:	0.23%
namespace_identifier:	0.21%
case_statement:	0.20%
abstract_function_declarator:	0.19%
sized_type_specifier:	0.18%
type_qualifier:	0.16%
alias_declaration:	0.15%
conditional_expression:	0.14%
concatenated_string:	0.14%
for_statement:	0.14%
type_parameter_declaration:	0.13%
template_parameter_list:	0.12%
struct_specifier:	0.12%
template_declaration:	0.12%
continue_statement:	0.11%
statement_identifier:	0.11%
template_function:	0.11%
field_declaration_list:	0.11%
subscript_expression:	0.10%
subscript_argument_list:	0.10%
while_statement:	0.09%
dependent_type:	0.09%
parenthesized_declarator:	0.09%
optional_parameter_declaration:	0.08%
comma_expression:	0.08%
abstract_pointer_declarator:	0.07%
goto_statement:	0.06%
requires_clause:	0.06%
requires_expression:	0.06%
requirement_seq:	0.06%
simple_requirement:	0.06%
for_range_loop:	0.05%
placeholder_type_specifier:	0.05%
initializer_list:	0.05%
type_requirement:	0.05%
labeled_statement:	0.05%
preproc_arg:	0.04%
field_initializer:	0.04%
abstract_reference_declarator:	0.03%
cast_expression:	0.03%
char_literal:	0.03%
destructor_name:	0.03%
preproc_function_def:	0.03%
preproc_params:	0.03%
field_declaration:	0.03%
ref_qualifier:	0.03%
field_initializer_list:	0.02%
class_specifier:	0.02%
operator_name:	0.02%
parameter_pack_expansion:	0.02%
pure_virtual_clause:	0.02%
explicit_function_specifier:	0.02%
compound_literal_expression:	0.02%
enum_specifier:	0.02%
array_declarator:	0.01%
preproc_defined:	0.01%
preproc_def:	0.01%
preproc_if:	0.01%
switch_statement:	0.01%
preproc_else:	0.01%
optional_type_parameter_declaration:	0.01%
lambda_capture_specifier:	0.01%
lambda_declarator:	0.01%
preproc_call:	0.01%
preproc_directive:	0.01%
dependent_name:	0.01%
base_class_clause:	0.01%
structured_binding_declarator:	0.01%
static_assert_declaration:	0.00%
static_assert:	0.00%
attributed_statement:	0.00%
attribute_declaration:	0.00%
sizeof_expression:	0.00%
lambda_expression:	0.00%
preproc_include:	0.00%
user_defined_literal:	0.00%
literal_suffix:	0.00%
namespace_definition:	0.00%
declaration_list:	0.00%
pointer_type_declarator:	0.00%
__alignof__:	0.00%
escape_sequence:	0.00%
