patch_file_name,Freq.
gcc/cp/pt.c,136
gcc/cp/call.c,116
gcc/cp/decl.c,113
gcc/cp/constexpr.c,110
gcc/cp/cp-tree.h,78
gcc/cp/parser.c,68
gcc/cp/tree.c,48
gcc/cp/class.c,44
gcc/cp/typeck2.c,43
gcc/cp/typeck.c,43
gcc/cp/init.c,41
gcc/cp/semantics.c,39
gcc/cp/decl2.c,32
gcc/cp/name-lookup.c,28
gcc/cp/constraint.c,27
gcc/cp/lambda.c,24
gcc/cp/cp-gimplify.c,24
gcc/cp/method.c,18
gcc/cp/except.c,17
gcc/cp/search.c,13
gcc/cp/mangle.c,10
gcc/tree.c,9
gcc/cp/error.c,8
gcc/cp/cvt.c,6
gcc/c-family/c-common.c,6
gcc/expr.c,5
gcc/dwarf2out.c,5
gcc/varasm.c,4
gcc/gimplify.c,4
gcc/expr.h,4
gcc/cp/rtti.c,4
gcc/cp/friend.c,4
gcc/cp/expr.c,4
gcc/cfgexpand.c,4
gcc/c/c-typeck.c,4
libstdc++-v3/include/bits/fs_path.h,3
gcc/fold-const.c,3
gcc/cp/vtable-class-hierarchy.c,3
gcc/cp/optimize.c,3
gcc/cp/name-lookup.h,3
gcc/cp/module.c,3
gcc/cp/cxx-pretty-print.c,3
gcc/cgraphunit.c,3
gcc/cgraph.h,3
gcc/c/c-fold.c,3
gcc/c-family/c-warn.c,3
gcc/c-family/c-common.h,3
libstdc++-v3/include/bits/stl_iterator.h,2
libstdc++-v3/include/bits/iterator_concepts.h,2
gcc/tree-ssa-phiprop.c,2
gcc/cp/parser.h,2
gcc/cp/logic.c,2
gcc/cp/cp-ubsan.c,2
gcc/calls.c,2
gcc/attribs.c,2
libiberty/cp-demangle.c,1
include/demangle.h,1
gcc/tree-vect-stmts.c,1
gcc/tree-vect-data-refs.c,1
gcc/tree-ssa-structalias.c,1
gcc/tree-ssa-loop-ivcanon.c,1
gcc/tree-ssa-loop-ch.c,1
gcc/tree-ssa-dce.c,1
gcc/tree-scalar-evolution.c,1
gcc/tree-data-ref.c,1
gcc/tree-core.h,1
gcc/tree-chrec.h,1
gcc/tree-chrec.c,1
gcc/stor-layout.c,1
gcc/lto/lto-symtab.c,1
gcc/lra-constraints.c,1
gcc/gimple-ssa-warn-access.c,1
gcc/gimple-fold.c,1
gcc/diagnostic.h,1
gcc/diagnostic.c,1
gcc/cp/lex.c,1
gcc/cp/cp-objcp-common.c,1
gcc/config/i386/i386.c,1
gcc/c-family/c-pretty-print.c,1
gcc/c-family/c-cppbuiltin.c,1
gcc/builtins.c,1
