option,occurrence
 -std=c++17/1z,60
 -std=c++20/2a,49
 -std=c++14/1y,29
 -O2,24
 -std=c++11,17
 -O3,14
 -fpreprocessed,13
 -fconcepts,13
 -fpch-preprocess,8
 -fsyntax-only,7
 -O1,6
 -Os,5
 -fsanitize=undefined,5
 -fPIC,5
 -fdiagnostics-color=always,4
 -Wshadow,4
 -std=gnu++2a,4
 -fno-elide-constructors,3
 -fmodules-ts,3
 -fstack-protector-strong,3
 -fno-strict-aliasing,3
 -ffunction-sections,3
 -std=gnu++17,3
 -fno-rtti,3
 -fno-exceptions,3
 -Woverloaded-virtual,3
 -Wwrite-strings,3
 -fdata-sections,3
 -Wconversion,3
 -flto,3
 -fpermissive,2
 -funroll-loops,2
 -W,2
 -Wredundant-move,2
 -fwrapv,2
 -Wlogical-op,2
 -Wclass-memaccess,2
 -Wno-deprecated-declarations,2
 -ffast-math,2
 -fno-use-cxa-atexit,2
 -fasynchronous-unwind-tables,2
 -std=gnu++20,2
 -std=gnu++14,2
 -fsigned-char,2
 -fno-new-inheriting-ctors,2
 -Wdeprecated-copy,1
 -Wdelete-non-virtual-dtor,1
 -Wno-pedantic,1
 -Wunused-but-set-parameter,1
 -Wuseless-cast,1
 -Wfatal-errors,1
 -Wmaybe-uninitialized,1
 -Wformat-security,1
 -Wmismatched-tags,1
 -Wdeprecated,1
 -Wno-ignored-qualifiers,1
 -Wstringop-overflow,1
 -Wno-comment,1
 -Wmissing-field-initializers,1
 -Wno-invalid-offsetof,1
 -Winit-self,1
 -Wdeprecated-copy-dtor,1
 -Wzero-as-null-pointer-constant,1
 -Wunused-parameter,1
 -Wsign-conversion,1
 -Wnonnull,1
 -Wfloat-equal,1
 -Wno-placement-new,1
 -Wno-missing-field-initializers,1
 -Wno-class-memaccess,1
 -Wno-long-long,1
 -Wno-maybe-uninitialized,1
 -Wno-unused-parameter,1
 -Wcast-qual,1
 -Wnoexcept,1
 -Wabi,1
 -Wformat,1
 -Weffc++,1
 -Wctor-dtor-privacy,1
 -Wparentheses,1
 -Wcomments,1
 -Wpointer-arith,1
 -Wp-D_GLIBCXX_ASSERTIONS,1
 -Wp-D_FORTIFY_SOURCE=2,1
 -Wduplicated-cond,1
 -Wno-unknown-pragmas,1
 -fabi-version=9,1
 -Wno-array-bounds,1
 -fno-strict-overflow,1
 -fvect-cost-model,1
 -fpeel-loops,1
 -fmax-errors=1,1
 -fsanitize=address,1
 -fno-inline,1
 -frounding-math,1
 -fmodule-header,1
 -fworking-directory,1
 -fno-semantic-interposition,1
 -Wno-mismatched-new-delete,1
 -O1/-O0,1
 -O5,1
 -Ofast,1
 -Og,1
 -std=c++26,1
 -std=c++{111417},1
 -std=gnu++11,1
 -std=c++0x,1
 -fvtable-verify=std,1
 -fno-aggressive-loop-optimizations,1
 -fanalyzer,1
 -fcf-protection,1
 -Wrestrict,1
 -Wdangling-else,1
 -Wextra,1
 -Wall,1
 -ftime-report-details,1
 -fno-tree-ccp,1
 -fno-tree-sra,1
 -flive-patching=inline-only-static,1
 -fPIE,1
 -fvisibility-inlines-hidden,1
 -fsanitize=vptr,1
 -fno-threadsafe-statics,1
 -fmessage-length=0,1
 -fcf-protection=none,1
 -frecord-gcc-switches,1
 -fdiagnostics-urls=never,1
 -fstack-clash-protection,1
 -Wno-psabi,1
