option,occurrence
 -std=c++11,31
 -fuse-init-array,17
 -std=c++20/2a,12
 -std=c++17/1z,11
 -std=c++14/1y,9
 -fsyntax-only,6
 -O2,3
 -std=gnu++11,3
 -fms-compatibility,2
 -std=c++03,2
 -fvisibility=hidden,2
 -faddrsig,2
 -fno-crash-diagnostics,2
 -fixit!,1
 -flto,1
 -fdelayed-template-parsing,1
 -fsanitize=address,1
 -fno-signed-char,1
 -fansi-escape-codes,1
 -Wno-incompatible-library-redeclaration,1
 -Weverything,1
 -Wshadow-all,1
 -fsanitize=cfi,1
 -Wmissing-braces,1
 -Wbinding-in-condition,1
 -Wno-unused-variable,1
 -Weffc++,1
 -fsanitize-recover=cfi,1
 -fallow-pch-with-compiler-errors,1
 -fuse-ld=lld,1
 -fno-sanitize-trap=cfi,1
 -fms-extensions,1
 -ftemplate-depth=3,1
 -fno-inline,1
 -fno-validate-pch,1
 -fno-rounding-math,1
 -fno-split-dwarf-inlining,1
 -fgnuc-version=421,1
 -O1,1
 -Od,1
 -O3,1
 -std=gnu++1z,1
 -std=gnu++17,1
 -std=c++26,1
 -Wrange-loop-analysis,1
