,option,occurrence
0, -std=c++17/1z,60
1, -std=c++20/2a,49
2, -std=c++14/1y,29
12, -O2,24
3, -std=c++11,17
13, -O3,14
21, -fconcepts,13
22, -fpreprocessed,13
23, -fpch-preprocess,8
24, -fsyntax-only,7
14, -O1,6
26, -fsanitize=undefined,6
74, -Wpedantic,6
15, -Os,5
25, -fPIC,5
4, -std=gnu++2a,4
27, -fdiagnostics-color=always,4
75, -Wshadow,4
5, -std=gnu++17,3
28, -fno-strict-aliasing,3
29, -fstack-protector-strong,3
30, -fmodules-ts,3
31, -fno-elide-constructors,3
32, -flto,3
33, -fno-rtti,3
34, -ffunction-sections,3
35, -fno-exceptions,3
36, -fdata-sections,3
76, -Woverloaded-virtual,3
77, -Wwrite-strings,3
78, -Wconversion,3
6, -std=gnu++20,2
7, -std=gnu++14,2
37, -fno-new-inheriting-ctors,2
38, -fsigned-char,2
39, -fasynchronous-unwind-tables,2
40, -fwrapv,2
41, -ffast-math,2
42, -funroll-loops,2
43, -fpermissive,2
44, -fno-use-cxa-atexit,2
79, -Wno-deprecated-declarations,2
80, -Wredundant-move,2
81, -W,2
82, -Wclass-memaccess,2
83, -Wlogical-op,2
8, -std=c++0x,1
9, -std=gnu++11,1
10, -std=c++{111417},1
11, -std=c++26,1
16, -Og,1
17, -Ofast,1
18, -O5,1
19, -O1/-O0,1
45, -fno-semantic-interposition,1
46, -fno-strict-overflow,1
47, -fworking-directory,1
48, -fmodule-header,1
49, -frounding-math,1
50, -fno-inline,1
51, -fsanitize=address,1
52, -fmax-errors=1,1
53, -fpeel-loops,1
54, -fvect-cost-model,1
55, -fvtable-verify=std,1
56, -fno-aggressive-loop-optimizations,1
57, -fanalyzer,1
58, -fcf-protection,1
59, -fstack-clash-protection,1
60, -fdiagnostics-urls=never,1
61, -frecord-gcc-switches,1
62, -fcf-protection=none,1
63, -fmessage-length=0,1
64, -fno-threadsafe-statics,1
65, -fabi-version=9,1
66, -fsanitize=vptr,1
67, -fvisibility-inlines-hidden,1
68, -fPIE,1
69, -flive-patching=inline-only-static,1
70, -fno-tree-sra,1
71, -fno-tree-ccp,1
72, -ftime-report-details,1
84, -Wall,1
85, -Wextra,1
86, -Wdangling-else,1
87, -Wrestrict,1
88, -Wno-mismatched-new-delete,1
89, -Wno-array-bounds,1
90, -Wno-placement-new,1
91, -Wno-unknown-pragmas,1
92, -Wdeprecated-copy-dtor,1
93, -Wdeprecated-copy,1
94, -Wno-ignored-qualifiers,1
95, -Wzero-as-null-pointer-constant,1
96, -Wmismatched-tags,1
97, -Wformat-security,1
98, -Wmaybe-uninitialized,1
99, -Wfatal-errors,1
100, -Werror=noexcept,1
101, -Wuseless-cast,1
102, -Wunused-but-set-parameter,1
103, -Wno-pedantic,1
104, -Wsign-conversion,1
105, -Wnonnull,1
106, -Werror=nonnull,1
107, -Wformat,1
108, -Wduplicated-cond,1
109, -Wp-D_FORTIFY_SOURCE=2,1
110, -Wp-D_GLIBCXX_ASSERTIONS,1
111, -Wpointer-arith,1
112, -Werror=format-security,1
113, -Wcomments,1
114, -Werror=missing-field-initializers,1
115, -Wparentheses,1
116, -Wctor-dtor-privacy,1
117, -Weffc++,1
118, -Wabi,1
119, -Wfloat-equal,1
120, -Wnoexcept,1
121, -Wcast-qual,1
122, -Wno-unused-parameter,1
123, -Wno-maybe-uninitialized,1
124, -Werror=date-time,1
125, -Wno-long-long,1
126, -Wno-class-memaccess,1
127, -Wno-missing-field-initializers,1
128, -Wno-comment,1
129, -Wdelete-non-virtual-dtor,1
130, -Wdeprecated,1
131, -Wstringop-overflow,1
132, -Wunused-parameter,1
133, -Wmissing-field-initializers,1
134, -Wno-invalid-offsetof,1
135, -Winit-self,1
136, -Werror=dangling-pointer,1
137, -Wno-psabi,1
