,option,occurrence
0, -std=c++11,31
13, -fuse-init-array,17
1, -std=c++20/2a,12
2, -std=c++17/1z,11
3, -std=c++14/1y,9
14, -fsyntax-only,6
4, -std=gnu++11,3
9, -O2,3
5, -std=c++03,2
15, -fvisibility=hidden,2
16, -faddrsig,2
17, -fms-compatibility,2
18, -fno-crash-diagnostics,2
6, -std=c++26,1
7, -std=gnu++17,1
8, -std=gnu++1z,1
10, -O3,1
11, -Od,1
12, -O1,1
19, -fgnuc-version=421,1
20, -fno-split-dwarf-inlining,1
21, -fno-rounding-math,1
22, -fallow-pch-with-compiler-errors,1
23, -fno-validate-pch,1
24, -fno-inline,1
25, -ftemplate-depth=3,1
26, -fms-extensions,1
27, -fno-sanitize-trap=cfi,1
28, -fuse-ld=lld,1
29, -fsanitize=cfi,1
30, -fsanitize-recover=cfi,1
31, -flto,1
32, -fdelayed-template-parsing,1
33, -fsanitize=address,1
34, -fno-signed-char,1
35, -fansi-escape-codes,1
36, -fixit!,1
37, -Weverything,1
38, -Wmissing-braces,1
39, -Wbinding-in-condition,1
40, -Werror,1
41, -Wno-unused-variable,1
42, -Weffc++,1
43, -Wshadow-all,1
44, -Wno-incompatible-library-redeclaration,1
45, -Wrange-loop-analysis,1
