bugno,gcc-add,gcc-remove
100032,4,0
100054,11,6
100065,2,0
100111,34,33
100138,7,1
100205,14,16
100209,17,3
100374,38,7
100474,42,1
100489,29,30
100493,5,3
100502,10,5
100517,1,1
100592,9,4
100616,35,0
100644,5,0
100752,2,4
100763,2,0
100797,25,19
100828,35,83
100838,6,5
100862,18,24
100963,3,0
100983,15,7
101040,9,2
101073,3,22
101098,3,1
101181,18,18
101194,3,1
101247,5,18
101405,10,4
101442,115,101
101532,1,0
101698,2,1
101717,7,1
101767,5,5
101783,0,0
101803,21,10
101988,12,0
102045,1,0
102050,4,2
102137,19,7
102191,63,13
102592,81,45
102670,10,1
102786,6,0
103081,1,6
103177,16,21
103337,42,11
103341,12,1
103346,39,35
103455,1,1
103480,2,0
103678,7,11
103700,2,0
103703,1,1
103711,10,0
103714,4,0
103749,17,0
103769,1,1
103783,14,3
103936,13,0
103968,4,0
103991,16,2
104031,7,2
104108,3,1
104173,8,11
104182,2,7
104225,1,0
104235,2,1
104300,69,20
104425,0,0
104432,27,31
104476,98,61
104527,51,26
104641,39,10
104647,140,0
104846,1,1
105035,5,2
105110,3,2
105265,4,5
105351,0,0
105518,69,42
105589,3,4
105623,12,3
105734,1,1
105761,35,11
105803,12,0
105842,50,12
105925,29,29
106304,5,1
106366,15,16
106675,2,0
106882,52,18
106925,5,2
106969,9,4
107065,10,3
107079,1,1
107280,2,1
107329,28,3
107461,21,6
107484,5,0
107574,12,1
107755,1,1
107938,4,0
108090,103,27
108437,25,8
108438,1,1
108468,2,0
108526,5,2
108559,19,3
108579,8,8
108606,3,1
108698,8,0
108887,37,25
108998,9,1
109039,9,1
109042,12,3
109096,2,2
109159,3,1
109160,24,11
109172,8,2
109241,9,5
109247,31,0
109277,6,5
109319,26,5
109320,48,14
109396,22,16
109506,0,0
109514,20,30
109531,20,19
109649,61,49
109678,25,10
109745,22,4
109751,88,7
109761,6,7
109871,8,8
109876,17,3
109899,2,1
109923,1,0
109958,13,7
110064,2,1
110075,2,0
110084,1,0
110102,8,0
110122,15,4
110197,16,7
110295,2,1
110395,0,0
110441,1,1
110463,2,0
110524,2,1
110535,8,0
110566,59,13
110580,3,1
110809,3,2
110927,2,2
111272,9,1
111286,5,4
111705,2,2
111710,82,55
112301,39,1
112427,15,2
112436,35,31
112439,1,0
112482,26,4
112594,41,16
112619,18,0
112632,41,16
112658,3,1
112744,18,3
112765,3,5
113031,2,1
113063,4,10
113064,18,4
113083,8,2
113088,6,2
113141,28,4
70272,3,1
79064,0,0
79077,1,9
79118,45,25
79290,4,1
79308,22,2
79377,4,2
79461,3,0
79474,0,0
79501,44,19
79503,3,1
79504,0,0
79519,2,2
79606,1,0
79679,6,5
79687,7,0
79746,6,0
79796,3,0
