bugno,llvm-add,llvm-remove
18477,34,19
18506,2,1
18542,4,2
18544,9,4
18551,1,1
18608,3,1
18746,4,2
18852,32,7
18876,5,3
19010,12,23
19066,10,1
19104,83,96
19172,14,8
19178,5,0
19195,112,39
19240,2,0
19352,3,1
19452,35,98
19681,39,9
19729,28,48
19741,30,3
19748,21,17
19767,13,11
19808,1,0
19876,0,0
19879,31,16
19902,14,2
19993,2,2
20208,25,2
20227,9,1
20259,68,7
20268,1,9
20346,9,0
20445,9,18
20496,5,2
20671,88,12
20716,5,2
20744,7,0
20771,76,11
20930,17,11
21332,33,9
21351,7,10
21367,17,5
21803,4,2
21942,28,60
21969,112,7
22017,14,6
22056,2,2
22075,62,3
22307,42,7
22310,84,50
22354,47,133
22396,6,0
22465,40,23
22566,13,7
22591,8,2
22673,7,3
22763,11,1
22793,5,2
22855,43,69
22877,14,6
22924,136,90
23186,6,2
23215,26,6
23303,27,9
23421,10,5
23514,0,0
23629,2,1
23802,4,2
23828,4,4
23931,7,0
23942,18,3
24289,12,10
24730,4,2
24921,15,6
25661,11,2
25731,20,10
26134,4,3
26182,35,27
26841,4,0
26893,16,3
27027,2,1
27047,13,2
27155,83,76
27811,38,2
27941,1,1
27994,16,22
28023,8,6
28039,35,27
28060,1,2
28064,25,5
28096,56,42
28105,8,0
28195,31,22
28337,20,18
28394,63,4
28460,6,3
28885,11,0
28978,11,0
29087,10,4
30305,38,0
30361,13,3
30559,3,0
30586,39,16
30595,18,8
30831,10,7
30844,6,1
31639,53,91
31701,5,1
31852,62,19
32172,5,1
32673,21,6
32898,8,2
32990,98,26
32992,11,3
33158,14,6
33189,1,4
33471,10,0
33904,25,10
34402,4,1
34644,15,7
34796,15,7
34970,59,24
35027,7,9
35039,10,0
35655,10,1
35832,1,2
36055,37,28
36181,18,17
36747,5,5
36810,12,3
37172,5,1
37265,13,0
37556,7,0
37631,38,7
37768,92,32
37903,0,0
37918,2,1
38205,0,0
38257,7,4
38671,3,4
40238,89,64
40313,1,11
40323,7,1
40395,126,47
40682,1,1
40858,33,8
41192,2,0
41607,28,5
41677,59,22
41743,16,4
42111,7,1
42126,5,0
42205,3,0
42211,30,4
42276,144,148
42513,89,64
42581,137,1
42694,0,0
42778,1,0
42961,1,1
42980,4,4
43232,30,1
43390,1,1
43519,5,2
44361,8,0
44658,3,4
44671,4,6
44673,8,3
44699,60,28
44809,36,2
45087,14,21
46790,5,3
47175,24,22
47176,14,7
47270,7,0
47555,7,2
47805,0,0
47861,111,13
48545,6,5
48656,0,0
48687,5,0
49020,23,4
49724,7,5
50561,2,1
50590,6,2
50779,3,2
51484,2,0
51547,2,2
52970,31,24
53012,31,24
53354,2,2
56864,3,1
60082,23,11
62102,8,3
62174,7,7
64088,8,0
64923,9,0
68024,4,0
73666,4,0
