bugno,function_number
22855,20
40395,19
22310,16
21942,15
31639,14
19452,14
47861,12
22465,12
42276,10
22924,10
42513,9
40238,9
28195,9
37768,8
22354,8
19748,8
19729,8
19104,8
47175,7
41677,7
36055,7
34970,7
32990,7
30586,7
20671,7
19195,7
24921,6
20445,6
60082,5
36747,5
36181,5
25731,5
22075,5
19767,5
45087,4
40858,4
34796,4
34644,4
31852,4
28394,4
28096,4
28064,4
27811,4
23303,4
22673,4
21969,4
20496,4
20259,4
19681,4
49020,3
44809,3
42581,3
42211,3
32992,3
30595,3
28039,3
26182,3
24289,3
23215,3
22307,3
21367,3
21332,3
20930,3
20227,3
19879,3
18852,3
18544,3
62174,2
53012,2
52970,2
50779,2
50590,2
47176,2
44673,2
44671,2
43232,2
41743,2
41607,2
40323,2
38257,2
35655,2
35027,2
33904,2
31701,2
30844,2
30361,2
30305,2
29087,2
28023,2
26134,2
23802,2
23186,2
22793,2
22566,2
22056,2
21803,2
21351,2
20771,2
20208,2
19741,2
19066,2
19010,2
18876,2
18477,2
73666,1
68024,1
64923,1
64088,1
62102,1
56864,1
51547,1
50561,1
49724,1
48687,1
48545,1
47555,1
47270,1
46790,1
44699,1
44658,1
44361,1
43390,1
42961,1
42778,1
42205,1
42126,1
42111,1
41192,1
40313,1
38671,1
37918,1
37631,1
37556,1
37265,1
37172,1
36810,1
35832,1
35039,1
34402,1
33471,1
33189,1
32898,1
32172,1
30559,1
28978,1
28885,1
28460,1
28337,1
28105,1
28060,1
27994,1
27941,1
27155,1
27047,1
26893,1
26841,1
25661,1
24730,1
23942,1
23931,1
23828,1
23629,1
23421,1
22877,1
22763,1
22591,1
22396,1
22017,1
20744,1
20716,1
20346,1
20268,1
19993,1
19902,1
19808,1
19352,1
19240,1
19178,1
19172,1
18746,1
18608,1
18551,1
18542,1
18506,1
53354,0
51484,0
48656,0
47805,0
43519,0
42980,0
42694,0
40682,0
38205,0
37903,0
33158,0
32673,0
30831,0
27027,0
23514,0
19876,0
